Company Name,Industry,Symbol,Series,ISIN Code
Allcargo Logistics Ltd.,Services,ALLCARGO,EQ,INE418H01029
Alok Industries Ltd.,Textiles,ALOKINDS,BE,INE270A01029
Amara Raja Batteries Ltd.,Automobile and Auto Components,AMARAJABAT,EQ,INE885A01032
Amber Enterprises India Ltd.,Consumer Durables,AMBER,EQ,INE371P01015
Ambuja Cements Ltd.,Construction Materials,AMBUJACEM,EQ,INE079A01024
Angel One Ltd.,Financial Services,ANGELONE,EQ,INE732I01013
Anupam Rasayan India Ltd.,Chemicals,ANURAS,EQ,INE930P01018
Apollo Hospitals Enterprise Ltd.,Healthcare,APOLLOHOSP,EQ,INE437A01024
Apollo Tyres Ltd.,Automobile and Auto Components,APOLLOTYRE,EQ,INE438A01022
Aptus Value Housing Finance India Ltd.,Financial Services,APTUS,EQ,INE852O01025
Asahi India Glass Ltd.,Automobile and Auto Components,ASAHIINDIA,EQ,INE439A01020
Ashok Leyland Ltd.,Capital Goods,ASHOKLEY,EQ,INE208A01029
Asian Paints Ltd.,Consumer Durables,ASIANPAINT,EQ,INE021A01026
Aster DM Healthcare Ltd.,Healthcare,ASTERDM,EQ,INE914M01019
AstraZenca Pharma India Ltd.,Healthcare,ASTRAZEN,EQ,INE203A01020
Astral Ltd.,Capital Goods,ASTRAL,EQ,INE006I01046
Atul Ltd.,Chemicals,ATUL,EQ,INE100A01010
Aurobindo Pharma Ltd.,Healthcare,AUROPHARMA,EQ,INE406A01037
Avanti Feeds Ltd.,Fast Moving Consumer Goods,AVANTIFEED,EQ,INE871C01038
Avenue Supermarts Ltd.,Consumer Services,DMART,EQ,INE192R01011
Axis Bank Ltd.,Financial Services,AXISBANK,EQ,INE238A01034
BASF India Ltd.,Chemicals,BASF,EQ,INE373A01013
BSE Ltd.,Financial Services,BSE,EQ,INE118H01025
Bajaj Auto Ltd.,Automobile and Auto Components,BAJAJ-AUTO,EQ,INE917I01010
Bajaj Electricals Ltd,Consumer Durables,BAJAJELEC,EQ,INE193E01025
Bajaj Finance Ltd.,Financial Services,BAJFINANCE,EQ,INE296A01024
Bajaj Finserv Ltd.,Financial Services,BAJAJFINSV,EQ,INE918I01026
Bajaj Holdings & Investment Ltd.,Financial Services,BAJAJHLDNG,EQ,INE118A01012
Balaji Amines Ltd.,Chemicals,BALAMINES,EQ,INE050E01027
Balkrishna Industries Ltd.,Automobile and Auto Components,BALKRISIND,EQ,INE787D01026
Balrampur Chini Mills Ltd.,Fast Moving Consumer Goods,BALRAMCHIN,EQ,INE119A01028
Bandhan Bank Ltd.,Financial Services,BANDHANBNK,EQ,INE545U01014
Bank of Baroda,Financial Services,BANKBARODA,EQ,INE028A01039
Bank of India,Financial Services,BANKINDIA,EQ,INE084A01016
Bank of Maharashtra,Financial Services,MAHABANK,EQ,INE457A01014
Bata India Ltd.,Consumer Durables,BATAINDIA,EQ,INE176A01028
Bayer Cropscience Ltd.,Chemicals,BAYERCROP,EQ,INE462A01022
Berger Paints India Ltd.,Consumer Durables,BERGEPAINT,EQ,INE463A01038
Bharat Dynamics Ltd.,Capital Goods,BDL,EQ,INE171Z01018
Bharat Electronics Ltd.,Capital Goods,BEL,EQ,INE263A01024
Bharat Forge Ltd.,Capital Goods,BHARATFORG,EQ,INE465A01025
Bharat Heavy Electricals Ltd.,Capital Goods,BHEL,EQ,INE257A01026
Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,BPCL,EQ,INE029A01011
Bharat Rasayan Ltd.,Chemicals,BHARATRAS,EQ,INE838B01013
Bharti Airtel Ltd.,Telecommunication,BHARTIARTL,EQ,INE397D01024
Biocon Ltd.,Healthcare,BIOCON,EQ,INE376G01013
Birla Corporation Ltd.,Construction Materials,BIRLACORPN,EQ,INE340A01012
Birlasoft Ltd.,Information Technology,BSOFT,EQ,INE836A01035
Blue Dart Express Ltd.,Services,BLUEDART,EQ,INE233B01017
Blue Star Ltd.,Consumer Durables,BLUESTARCO,EQ,INE472A01039
Bombay Burmah Trading Corporation Ltd.,Fast Moving Consumer Goods,BBTC,EQ,INE050A01025
Borosil Renewables Ltd.,Capital Goods,BORORENEW,EQ,INE666D01022
Bosch Ltd.,Automobile and Auto Components,BOSCHLTD,EQ,INE323A01026
Brigade Enterprises Ltd.,Realty,BRIGADE,EQ,INE791I01019
Brightcom Group Ltd.,Information Technology,BCG,EQ,INE425B01027
Britannia Industries Ltd.,Fast Moving Consumer Goods,BRITANNIA,EQ,INE216A01030
C.E. Info Systems Ltd.,Information Technology,MAPMYINDIA,EQ,INE0BV301023
CCL Products (I) Ltd.,Fast Moving Consumer Goods,CCL,EQ,INE421D01022
CESC Ltd.,Power,CESC,EQ,INE486A01021
CG Power and Industrial Solutions Ltd.,Capital Goods,CGPOWER,EQ,INE067A01029
CRISIL Ltd.,Financial Services,CRISIL,EQ,INE007A01025
CSB Bank Ltd.,Financial Services,CSBBANK,EQ,INE679A01013
Campus Activewear Ltd.,Consumer Durables,CAMPUS,EQ,INE278Y01022
Can Fin Homes Ltd.,Financial Services,CANFINHOME,EQ,INE477A01020
Canara Bank,Financial Services,CANBK,EQ,INE476A01014
Caplin Point Laboratories Ltd.,Healthcare,CAPLIPOINT,EQ,INE475E01026
Capri Global Capital Ltd.,Financial Services,CGCL,EQ,INE180C01026
Carborundum Universal Ltd.,Capital Goods,CARBORUNIV,EQ,INE120A01034
Castrol India Ltd.,Oil Gas & Consumable Fuels,CASTROLIND,EQ,INE172A01027
Ceat Ltd.,Automobile and Auto Components,CEATLTD,EQ,INE482A01020
Central Bank of India,Financial Services,CENTRALBK,EQ,INE483A01010
Central Depository Services (India) Ltd.,Financial Services,CDSL,EQ,INE736A01011
Century Plyboards (India) Ltd.,Consumer Durables,CENTURYPLY,EQ,INE348B01021
Century Textile & Industries Ltd.,Forest Materials,CENTURYTEX,EQ,INE055A01016
Cera Sanitaryware Ltd,Consumer Durables,CERA,EQ,INE739E01017
Chalet Hotels Ltd.,Consumer Services,CHALET,EQ,INE427F01016
Chambal Fertilizers & Chemicals Ltd.,Chemicals,CHAMBLFERT,EQ,INE085A01013
Chemplast Sanmar Ltd.,Chemicals,CHEMPLASTS,EQ,INE488A01050
Cholamandalam Financial Holdings Ltd.,Financial Services,CHOLAHLDNG,EQ,INE149A01033
Cholamandalam Investment and Finance Company Ltd.,Financial Services,CHOLAFIN,EQ,INE121A01024
Cipla Ltd.,Healthcare,CIPLA,EQ,INE059A01026
City Union Bank Ltd.,Financial Services,CUB,EQ,INE491A01021
Clean Science and Technology Ltd.,Chemicals,CLEAN,EQ,INE227W01023
Coal India Ltd.,Oil Gas & Consumable Fuels,COALINDIA,EQ,INE522F01014
Cochin Shipyard Ltd.,Capital Goods,COCHINSHIP,EQ,INE704P01017
Coforge Ltd.,Information Technology,COFORGE,EQ,INE591G01017
Colgate Palmolive (India) Ltd.,Fast Moving Consumer Goods,COLPAL,EQ,INE259A01022
Computer Age Management Services Ltd.,Financial Services,CAMS,EQ,INE596I01012
Container Corporation of India Ltd.,Services,CONCOR,EQ,INE111A01025
Coromandel International Ltd.,Chemicals,COROMANDEL,EQ,INE169A01031
CreditAccess Grameen Ltd.,Financial Services,CREDITACC,EQ,INE741K01010
Crompton Greaves Consumer Electricals Ltd.,Consumer Durables,CROMPTON,EQ,INE299U01018
Cummins India Ltd.,Capital Goods,CUMMINSIND,EQ,INE298A01020
Cyient Ltd.,Information Technology,CYIENT,EQ,INE136B01020
DCM Shriram Ltd.,Diversified,DCMSHRIRAM,EQ,INE499A01024
DLF Ltd.,Realty,DLF,EQ,INE271C01023
Dabur India Ltd.,Fast Moving Consumer Goods,DABUR,EQ,INE016A01026
Dalmia Bharat Ltd.,Construction Materials,DALBHARAT,EQ,INE00R701025
Deepak Fertilisers & Petrochemicals Corp. Ltd.,Chemicals,DEEPAKFERT,EQ,INE501A01019
Deepak Nitrite Ltd.,Chemicals,DEEPAKNTR,EQ,INE288B01029
Delhivery Ltd.,Services,DELHIVERY,EQ,INE148O01028
Delta Corp Ltd.,Consumer Services,DELTACORP,EQ,INE124G01033
Devyani International Ltd.,Consumer Services,DEVYANI,EQ,INE872J01023
Dhani Services Ltd.,Financial Services,DHANI,EQ,INE274G01010
Dilip Buildcon Ltd.,Construction,DBL,EQ,INE917M01012
Divi's Laboratories Ltd.,Healthcare,DIVISLAB,EQ,INE361B01024
Dixon Technologies (India) Ltd.,Consumer Durables,DIXON,EQ,INE935N01020
Dr. Lal Path Labs Ltd.,Healthcare,LALPATHLAB,EQ,INE600L01024
Dr. Reddy's Laboratories Ltd.,Healthcare,DRREDDY,EQ,INE089A01023
E.I.D. Parry (India) Ltd.,Fast Moving Consumer Goods,EIDPARRY,EQ,INE126A01031
EIH Ltd.,Consumer Services,EIHOTEL,EQ,INE230A01023
EPL Ltd.,Capital Goods,EPL,EQ,INE255A01020
Easy Trip Planners Ltd.,Consumer Services,EASEMYTRIP,EQ,INE07O001018
Edelweiss Financial Services Ltd.,Financial Services,EDELWEISS,EQ,INE532F01054
Eicher Motors Ltd.,Automobile and Auto Components,EICHERMOT,EQ,INE066A01021
Elgi Equipments Ltd.,Capital Goods,ELGIEQUIP,EQ,INE285A01027
Emami Ltd.,Fast Moving Consumer Goods,EMAMILTD,EQ,INE548C01032
Endurance Technologies Ltd.,Automobile and Auto Components,ENDURANCE,EQ,INE913H01037
Engineers India Ltd.,Construction,ENGINERSIN,EQ,INE510A01028
Equitas Small Finance Bank Ltd.,Financial Services,EQUITASBNK,EQ,INE063P01018
Escorts Kubota Ltd.,Capital Goods,ESCORTS,EQ,INE042A01014
Exide Industries Ltd.,Automobile and Auto Components,EXIDEIND,EQ,INE302A01020
FDC Ltd.,Healthcare,FDC,EQ,INE258B01022
FSN E-Commerce Ventures Ltd.,Consumer Services,NYKAA,EQ,INE388Y01029
Federal Bank Ltd.,Financial Services,FEDERALBNK,EQ,INE171A01029
Fertilisers and Chemicals Travancore Ltd.,Chemicals,FACT,EQ,INE188A01015
Fine Organic Industries Ltd.,Chemicals,FINEORG,EQ,INE686Y01026
Finolex Cables Ltd.,Capital Goods,FINCABLES,EQ,INE235A01022
Finolex Industries Ltd.,Capital Goods,FINPIPE,EQ,INE183A01024
Firstsource Solutions Ltd.,Information Technology,FSL,EQ,INE684F01012
Fortis Healthcare Ltd.,Healthcare,FORTIS,EQ,INE061F01013
G R Infraprojects Ltd.,Construction,GRINFRA,EQ,INE201P01022
GAIL (India) Ltd.,Oil Gas & Consumable Fuels,GAIL,EQ,INE129A01019
GMM Pfaudler Ltd.,Capital Goods,GMMPFAUDLR,EQ,INE541A01023
GMR Airports Infrastructure Ltd.,Services,GMRINFRA,EQ,INE776C01039
Galaxy Surfactants Ltd.,Chemicals,GALAXYSURF,EQ,INE600K01018
Garware Technical Fibres Ltd.,Textiles,GARFIBRES,EQ,INE276A01018
General Insurance Corporation of India,Financial Services,GICRE,EQ,INE481Y01014
Gland Pharma Ltd.,Healthcare,GLAND,EQ,INE068V01023
Glaxosmithkline Pharmaceuticals Ltd.,Healthcare,GLAXO,EQ,INE159A01016
Glenmark Pharmaceuticals Ltd.,Healthcare,GLENMARK,EQ,INE935A01035
Go Fashion (India) Ltd.,Consumer Services,GOCOLORS,EQ,INE0BJS01011
Godfrey Phillips India Ltd.,Fast Moving Consumer Goods,GODFRYPHLP,EQ,INE260B01028
Godrej Agrovet Ltd.,Fast Moving Consumer Goods,GODREJAGRO,EQ,INE850D01014
Godrej Consumer Products Ltd.,Fast Moving Consumer Goods,GODREJCP,EQ,INE102D01028
Godrej Industries Ltd.,Fast Moving Consumer Goods,GODREJIND,EQ,INE233A01035
Godrej Properties Ltd.,Realty,GODREJPROP,EQ,INE484J01027
Granules India Ltd.,Healthcare,GRANULES,EQ,INE101D01020
Graphite India Ltd.,Capital Goods,GRAPHITE,EQ,INE371A01025
Grasim Industries Ltd.,Construction Materials,GRASIM,EQ,INE047A01021
Great Eastern Shipping Co. Ltd.,Services,GESHIP,EQ,INE017A01032
Greenpanel Industries Ltd.,Consumer Durables,GREENPANEL,EQ,INE08ZM01014
Grindwell Norton Ltd.,Capital Goods,GRINDWELL,EQ,INE536A01023
Gujarat Alkalies & Chemicals Ltd.,Chemicals,GUJALKALI,EQ,INE186A01019
Gujarat Ambuja Exports Ltd.,Fast Moving Consumer Goods,GAEL,EQ,INE036B01030
Gujarat Fluorochemicals Ltd.,Chemicals,FLUOROCHEM,EQ,INE09N301011
Gujarat Gas Ltd.,Oil Gas & Consumable Fuels,GUJGASLTD,EQ,INE844O01030
Gujarat Narmada Valley Fertilizers and Chemicals Ltd.,Chemicals,GNFC,EQ,INE113A01013
Gujarat Pipavav Port Ltd.,Services,GPPL,EQ,INE517F01014
Gujarat State Fertilizers & Chemicals Ltd.,Chemicals,GSFC,EQ,INE026A01025
Gujarat State Petronet Ltd.,Oil Gas & Consumable Fuels,GSPL,EQ,INE246F01010
H.E.G. Ltd.,Capital Goods,HEG,EQ,INE545A01016
HCL Technologies Ltd.,Information Technology,HCLTECH,EQ,INE860A01027
HDFC Asset Management Company Ltd.,Financial Services,HDFCAMC,EQ,INE127D01025
HDFC Bank Ltd.,Financial Services,HDFCBANK,EQ,INE040A01034
HDFC Life Insurance Company Ltd.,Financial Services,HDFCLIFE,EQ,INE795G01014
HFCL Ltd.,Telecommunication,HFCL,EQ,INE548A01028
HLE Glascoat Ltd.,Capital Goods,HLEGLAS,EQ,INE461D01028
Happiest Minds Technologies Ltd.,Information Technology,HAPPSTMNDS,EQ,INE419U01012
Hatsun Agro Product Ltd.,Fast Moving Consumer Goods,HATSUN,EQ,INE473B01035
Havells India Ltd.,Consumer Durables,HAVELLS,EQ,INE176B01034
Hero MotoCorp Ltd.,Automobile and Auto Components,HEROMOTOCO,EQ,INE158A01026
Hikal Ltd.,Healthcare,HIKAL,EQ,INE475B01022
Hindalco Industries Ltd.,Metals & Mining,HINDALCO,EQ,INE038A01020
Hinduja Global Solutions Ltd.,Services,HGS,EQ,INE170I01016
Hindustan Aeronautics Ltd.,Capital Goods,HAL,EQ,INE066F01012
Hindustan Copper Ltd.,Metals & Mining,HINDCOPPER,EQ,INE531E01026
Hindustan Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,HINDPETRO,EQ,INE094A01015
Hindustan Unilever Ltd.,Fast Moving Consumer Goods,HINDUNILVR,EQ,INE030A01027
Hindustan Zinc Ltd.,Metals & Mining,HINDZINC,EQ,INE267A01025
Hitachi Energy India Ltd.,Capital Goods,POWERINDIA,EQ,INE07Y701011
Home First Finance Company India Ltd.,Financial Services,HOMEFIRST,EQ,INE481N01025
Honeywell Automation India Ltd.,Capital Goods,HONAUT,EQ,INE671A01010
Housing & Urban Development Corporation Ltd.,Financial Services,HUDCO,EQ,INE031A01017
Housing Development Finance Corporation Ltd.,Financial Services,HDFC,EQ,INE001A01036
ICICI Bank Ltd.,Financial Services,ICICIBANK,EQ,INE090A01021
ICICI Lombard General Insurance Company Ltd.,Financial Services,ICICIGI,EQ,INE765G01017
ICICI Prudential Life Insurance Company Ltd.,Financial Services,ICICIPRULI,EQ,INE726G01019
ICICI Securities Ltd.,Financial Services,ISEC,EQ,INE763G01038
IDBI Bank Ltd.,Financial Services,IDBI,EQ,INE008A01015
IDFC First Bank Ltd.,Financial Services,IDFCFIRSTB,EQ,INE092T01019
IDFC Ltd.,Financial Services,IDFC,EQ,INE043D01016
IFB Industries Ltd.,Consumer Durables,IFBIND,EQ,INE559A01017
IIFL Finance Ltd.,Financial Services,IIFL,EQ,INE530B01024
IIFL Wealth Management Ltd.,Financial Services,IIFLWAM,EQ,INE466L01020
IRB Infrastructure Developers Ltd.,Construction,IRB,EQ,INE821I01014
ITC Ltd.,Fast Moving Consumer Goods,ITC,EQ,INE154A01025
ITI Ltd.,Telecommunication,ITI,EQ,INE248A01017
India Cements Ltd.,Construction Materials,INDIACEM,EQ,INE383A01012
Indiabulls Housing Finance Ltd.,Financial Services,IBULHSGFIN,EQ,INE148I01020
Indiabulls Real Estate Ltd.,Realty,IBREALEST,EQ,INE069I01010
Indiamart Intermesh Ltd.,Consumer Services,INDIAMART,EQ,INE933S01016
Indian Bank,Financial Services,INDIANB,EQ,INE562A01011
Indian Energy Exchange Ltd.,Financial Services,IEX,EQ,INE022Q01020
Indian Hotels Co. Ltd.,Consumer Services,INDHOTEL,EQ,INE053A01029
Indian Oil Corporation Ltd.,Oil Gas & Consumable Fuels,IOC,EQ,INE242A01010
Indian Overseas Bank,Financial Services,IOB,EQ,INE565A01014
Indian Railway Catering And Tourism Corporation Ltd.,Consumer Services,IRCTC,EQ,INE335Y01020
Indian Railway Finance Corporation Ltd.,Financial Services,IRFC,EQ,INE053F01010
Indigo Paints Ltd.,Consumer Durables,INDIGOPNTS,EQ,INE09VQ01012
Indoco Remedies Ltd.,Healthcare,INDOCO,EQ,INE873D01024
Indraprastha Gas Ltd.,Oil Gas & Consumable Fuels,IGL,EQ,INE203G01027
Indus Towers Ltd.,Telecommunication,INDUSTOWER,EQ,INE121J01017
IndusInd Bank Ltd.,Financial Services,INDUSINDBK,EQ,INE095A01012
Infibeam Avenues Ltd.,Financial Services,INFIBEAM,EQ,INE483S01020
Info Edge (India) Ltd.,Consumer Services,NAUKRI,EQ,INE663F01024
Infosys Ltd.,Information Technology,INFY,EQ,INE009A01021
Inox Leisure Ltd.,Media Entertainment & Publication,INOXLEISUR,EQ,INE312H01016
Intellect Design Arena Ltd.,Information Technology,INTELLECT,EQ,INE306R01017
InterGlobe Aviation Ltd.,Services,INDIGO,EQ,INE646L01027
Ipca Laboratories Ltd.,Healthcare,IPCALAB,EQ,INE571A01038
J.B. Chemicals & Pharmaceuticals Ltd.,Healthcare,JBCHEPHARM,EQ,INE572A01028
J.K. Cement Ltd.,Construction Materials,JKCEMENT,EQ,INE823G01014
JBM Auto Ltd.,Automobile and Auto Components,JBMA,EQ,INE927D01044
JK Lakshmi Cement Ltd.,Construction Materials,JKLAKSHMI,EQ,INE786A01032
JK Paper Ltd.,Forest Materials,JKPAPER,EQ,INE789E01012
JM Financial Ltd.,Financial Services,JMFINANCIL,EQ,INE780C01023
JSW Energy Ltd.,Power,JSWENERGY,EQ,INE121E01018
JSW Steel Ltd.,Metals & Mining,JSWSTEEL,EQ,INE019A01038
Jamna Auto Industries Ltd.,Automobile and Auto Components,JAMNAAUTO,EQ,INE039C01032
Jindal Stainless Ltd.,Metals & Mining,JSL,EQ,INE220G01021
Jindal Steel & Power Ltd.,Metals & Mining,JINDALSTEL,EQ,INE749A01030
Jubilant Foodworks Ltd.,Consumer Services,JUBLFOOD,EQ,INE797F01020
Jubilant Ingrevia Ltd.,Chemicals,JUBLINGREA,EQ,INE0BY001018
Jubilant Pharmova Ltd.,Healthcare,JUBLPHARMA,EQ,INE700A01033
Justdial Ltd.,Consumer Services,JUSTDIAL,EQ,INE599M01018
Jyothy Labs Ltd.,Fast Moving Consumer Goods,JYOTHYLAB,EQ,INE668F01031
K.P.R. Mill Ltd.,Textiles,KPRMILL,EQ,INE930H01031
KEI Industries Ltd.,Capital Goods,KEI,EQ,INE878B01027
KNR Constructions Ltd.,Construction,KNRCON,EQ,INE634I01029
KPIT Technologies Ltd.,Information Technology,KPITTECH,EQ,INE04I401011
KRBL Ltd.,Fast Moving Consumer Goods,KRBL,EQ,INE001B01026
Kajaria Ceramics Ltd.,Consumer Durables,KAJARIACER,EQ,INE217B01036
Kalpataru Power Transmission Ltd.,Construction,KALPATPOWR,EQ,INE220B01022
Kalyan Jewellers India Ltd.,Consumer Durables,KALYANKJIL,EQ,INE303R01014
Kansai Nerolac Paints Ltd.,Consumer Durables,KANSAINER,EQ,INE531A01024
Karur Vysya Bank Ltd.,Financial Services,KARURVYSYA,EQ,INE036D01028
Kec International Ltd.,Capital Goods,KEC,EQ,INE389H01022
Kotak Mahindra Bank Ltd.,Financial Services,KOTAKBANK,EQ,INE237A01028
Krishna Institute of Medical Sciences Ltd.,Healthcare,KIMS,EQ,INE967H01017
L&T Finance Holdings Ltd.,Financial Services,L&TFH,EQ,INE498L01015
L&T Technology Services Ltd.,Information Technology,LTTS,EQ,INE010V01017
LIC Housing Finance Ltd.,Financial Services,LICHSGFIN,EQ,INE115A01026
Lakshmi Machine Works Ltd.,Capital Goods,LAXMIMACH,EQ,INE269B01029
Larsen & Toubro Infotech Ltd.,Information Technology,LTI,EQ,INE214T01019
Larsen & Toubro Ltd.,Construction,LT,EQ,INE018A01030
Latent View Analytics Ltd.,Information Technology,LATENTVIEW,EQ,INE0I7C01011
Laurus Labs Ltd.,Healthcare,LAURUSLABS,EQ,INE947Q01028
Laxmi Organic Industries Ltd.,Chemicals,LXCHEM,EQ,INE576O01020
Life Insurance Corporation of India,Financial Services,LICI,EQ,INE0J1Y01017
Linde India Ltd.,Chemicals,LINDEINDIA,EQ,INE473A01011
Lupin Ltd.,Healthcare,LUPIN,EQ,INE326A01037
Lux Industries Ltd.,Textiles,LUXIND,EQ,INE150G01020
MMTC Ltd.,Services,MMTC,EQ,INE123F01029
MOIL Ltd.,Metals & Mining,MOIL,EQ,INE490G01020
MRF Ltd.,Automobile and Auto Components,MRF,EQ,INE883A01011
MTAR Technologies Ltd.,Capital Goods,MTARTECH,EQ,INE864I01014
Macrotech Developers Ltd.,Realty,LODHA,EQ,INE670K01029
Mahanagar Gas Ltd.,Oil Gas & Consumable Fuels,MGL,EQ,INE002S01010
Mahindra & Mahindra Financial Services Ltd.,Financial Services,M&MFIN,EQ,INE774D01024
Mahindra & Mahindra Ltd.,Automobile and Auto Components,M&M,EQ,INE101A01026
Mahindra CIE Automotive Ltd.,Automobile and Auto Components,MAHINDCIE,EQ,INE536H01010
Mahindra Holidays & Resorts India Ltd.,Consumer Services,MHRIL,EQ,INE998I01010
Mahindra Lifespace Developers Ltd.,Realty,MAHLIFE,EQ,INE813A01018
Mahindra Logistics Ltd.,Services,MAHLOG,EQ,INE766P01016
Manappuram Finance Ltd.,Financial Services,MANAPPURAM,EQ,INE522D01027
Mangalore Refinery & Petrochemicals Ltd.,Oil Gas & Consumable Fuels,MRPL,EQ,INE103A01014
Marico Ltd.,Fast Moving Consumer Goods,MARICO,EQ,INE196A01026
Maruti Suzuki India Ltd.,Automobile and Auto Components,MARUTI,EQ,INE585B01010
Mastek Ltd.,Information Technology,MASTEK,EQ,INE759A01021
Max Financial Services Ltd.,Financial Services,MFSL,EQ,INE180A01020
Max Healthcare Institute Ltd.,Healthcare,MAXHEALTH,EQ,INE027H01010
Mazagoan Dock Shipbuilders Ltd.,Capital Goods,MAZDOCK,EQ,INE249Z01012
Medplus Health Services Ltd.,Consumer Services,MEDPLUS,EQ,INE804L01022
Metro Brands Ltd.,Consumer Durables,METROBRAND,EQ,INE317I01021
Metropolis Healthcare Ltd.,Healthcare,METROPOLIS,EQ,INE112L01020
Motherson Sumi Wiring India Ltd.,Automobile and Auto Components,MSUMI,EQ,INE0FS801015
Motilal Oswal Financial Services Ltd.,Financial Services,MOTILALOFS,EQ,INE338I01027
MphasiS Ltd.,Information Technology,MPHASIS,EQ,INE356A01018
Multi Commodity Exchange of India Ltd.,Financial Services,MCX,EQ,INE745G01035
Muthoot Finance Ltd.,Financial Services,MUTHOOTFIN,EQ,INE414G01012
NATCO Pharma Ltd.,Healthcare,NATCOPHARM,EQ,INE987B01026
NBCC (India) Ltd.,Construction,NBCC,EQ,INE095N01031
NCC Ltd.,Construction,NCC,EQ,INE868B01028
NHPC Ltd.,Power,NHPC,EQ,INE848E01016
NIIT Ltd.,Consumer Services,NIITLTD,EQ,INE161A01038
NLC India Ltd.,Power,NLCINDIA,EQ,INE589A01014
NOCIL Ltd.,Chemicals,NOCIL,EQ,INE163A01018
NTPC Ltd.,Power,NTPC,EQ,INE733E01010
Narayana Hrudayalaya Ltd.,Healthcare,NH,EQ,INE410P01011
National Aluminium Co. Ltd.,Metals & Mining,NATIONALUM,EQ,INE139A01034
Navin Fluorine International Ltd.,Chemicals,NAVINFLUOR,EQ,INE048G01026
Nazara Technologies Ltd.,Media Entertainment & Publication,NAZARA,EQ,INE418L01021
Nestle India Ltd.,Fast Moving Consumer Goods,NESTLEIND,EQ,INE239A01016
Network18 Media & Investments Ltd.,Media Entertainment & Publication,NETWORK18,EQ,INE870H01013
Nippon Life India Asset Management Ltd.,Financial Services,NAM-INDIA,EQ,INE298J01013
Nuvoco Vistas Corporation Ltd.,Construction Materials,NUVOCO,EQ,INE118D01016
Oberoi Realty Ltd.,Realty,OBEROIRLTY,EQ,INE093I01010
Oil & Natural Gas Corporation Ltd.,Oil Gas & Consumable Fuels,ONGC,EQ,INE213A01029
Oil India Ltd.,Oil Gas & Consumable Fuels,OIL,EQ,INE274J01014
Olectra Greentech Ltd.,Automobile and Auto Components,OLECTRA,EQ,INE260D01016
One 97 Communications Ltd.,Financial Services,PAYTM,EQ,INE982J01020
Oracle Financial Services Software Ltd.,Information Technology,OFSS,EQ,INE881D01027
Orient Electric Ltd.,Consumer Durables,ORIENTELEC,EQ,INE142Z01019
PB Fintech Ltd.,Financial Services,POLICYBZR,EQ,INE417T01026
PCBL Ltd.,Chemicals,PCBL,EQ,INE602A01031
PI Industries Ltd.,Chemicals,PIIND,EQ,INE603J01030
PNB Housing Finance Ltd.,Financial Services,PNBHOUSING,EQ,INE572E01012
PNC Infratech Ltd.,Construction,PNCINFRA,EQ,INE195J01029
PVR Ltd.,Media Entertainment & Publication,PVR,EQ,INE191H01014
Page Industries Ltd.,Textiles,PAGEIND,EQ,INE761H01022
Patanjali Foods Ltd.,Fast Moving Consumer Goods,PATANJALI,BE,INE619A01035
Persistent Systems Ltd.,Information Technology,PERSISTENT,EQ,INE262H01013
